freq_GHz,S21_dB,S31_dB,S41_dB,S51_dB,S61_dB
1.000000000000000021e-02,-7.951645980600000030e+01,-6.923630280300000095e+01,-9.117257642399999895e+01,-8.047361784999999657e+01,-7.408500679899999852e+01
3.001001001000000099e-02,-7.469717338799999595e+01,-8.187468213299999320e+01,-7.991032268600000066e+01,-8.620602737500000501e+01,-8.139254723300000194e+01
5.002002002000000003e-02,-7.875028631799999346e+01,-8.586796141300000329e+01,-7.925906191100000342e+01,-7.939920427200000574e+01,-8.745512409600000581e+01
7.003003002999999560e-02,-7.271966469999999561e+01,-8.015726202700000158e+01,-8.705048104099999762e+01,-7.680487996399999417e+01,-9.599162475599999311e+01
9.004004004000000505e-02,-8.221585004400000685e+01,-8.364550490499999569e+01,-8.412516609499999731e+01,-7.693988251800000455e+01,-8.061611048400000357e+01
1.100500500500000006e-01,-8.272016547799999842e+01,-8.665719193099999984e+01,-7.492121072599999820e+01,-8.717787530699999365e+01,-7.911279334399999641e+01
1.300600600600000101e-01,-7.952209516199999939e+01,-7.878053658599999665e+01,-8.343531480199999351e+01,-7.600290642000000219e+01,-8.190398962599999777e+01
1.500700700700000056e-01,-9.877414568499999348e+01,-8.001841572099999667e+01,-8.626666251499999305e+01,-8.248036451999999485e+01,-9.013632871100000443e+01
1.700800800800000012e-01,-7.765948074700000348e+01,-8.330676753900000620e+01,-7.821025816200000236e+01,-7.438751187399999765e+01,-8.193413409100000422e+01
1.900900900899999968e-01,-9.118037417200000050e+01,-7.527778921399999490e+01,-7.282930006099999787e+01,-9.199394551800000386e+01,-7.567638982600000475e+01
2.101001000999999924e-01,-8.167012824600000442e+01,-7.485812430699999709e+01,-8.242891260300000056e+01,-8.000349781100000257e+01,-8.972544575599999916e+01
2.301101101100000157e-01,-7.385174011899999869e+01,-7.655499437100000648e+01,-7.715552517800000487e+01,-8.143944169600000293e+01,-7.635987578399999620e+01
2.501201201200000113e-01,-9.381933610299999771e+01,-7.986928714200000456e+01,-9.104652652800000112e+01,-7.849912699200000077e+01,-8.000994049000000530e+01
2.701301301299999791e-01,-7.419176046399999791e+01,-8.785945557300000530e+01,-8.053153590200000167e+01,-7.636156375599999535e+01,-8.435440042400000493e+01
2.901401401400000024e-01,-8.209299767400000292e+01,-7.829427972899999588e+01,-8.550182499500000688e+01,-7.236723391200000322e+01,-9.072359373999999832e+01
3.101501501499999702e-01,-7.599535606899999607e+01,-8.457323851799999659e+01,-7.784970974399999477e+01,-7.900538817999999708e+01,-8.017230962899999724e+01
3.301601601600000491e-01,-7.539975661399999751e+01,-8.401760372600000437e+01,-8.733594410000000607e+01,-7.926914542900000527e+01,-8.504748407699999291e+01
3.501701701700000169e-01,-8.081551429499999983e+01,-8.124825418400000387e+01,-7.843782356699999525e+01,-7.671131121800000585e+01,-8.035835927700000525e+01
3.701801801799999847e-01,-7.695989531799999384e+01,-7.432797856499999511e+01,-7.539105560199999445e+01,-7.884446433799999454e+01,-7.243620583099999521e+01
3.901901901900000080e-01,-8.210283839999999600e+01,-7.604754933399999572e+01,-7.954065110899999524e+01,-6.953707703999999978e+01,-7.370300127299999815e+01
4.102002001999999758e-01,-8.790801238999999612e+01,-7.152869032300000640e+01,-7.866142047699999296e+01,-8.538202462200000298e+01,-7.638893552599999737e+01
4.302102102099999992e-01,-7.741842170699999315e+01,-7.031444106600000055e+01,-8.843060893000000533e+01,-8.834574358099999358e+01,-7.000209202199999936e+01
4.502202202200000225e-01,-8.121396788799999911e+01,-7.546002624199999786e+01,-7.146800391399999342e+01,-7.783978947999999320e+01,-7.483525461899999698e+01
4.702302302300000458e-01,-7.620915516200000184e+01,-6.982243155499999432e+01,-8.257503201999999476e+01,-8.169285897899999327e+01,-6.757707158099999845e+01
4.902402402400000136e-01,-7.226937154600000213e+01,-7.501243234800000437e+01,-7.487292004399999712e+01,-7.911573602500000391e+01,-6.965318671999999367e+01
5.102502502500000370e-01,-8.685309117900000331e+01,-7.225317596099999662e+01,-7.211814823400000307e+01,-7.647525162399999488e+01,-7.493505276099999435e+01
5.302602602599999493e-01,-7.012265595899999937e+01,-7.423299863399999765e+01,-6.590209242699999947e+01,-7.144930277999999646e+01,-7.085393617600000482e+01
5.502702702699999726e-01,-7.709512956199999678e+01,-7.288814350900000250e+01,-6.541537341199999389e+01,-7.660603035500000146e+01,-6.616206543900000270e+01
5.702802802799999959e-01,-7.891512219899999536e+01,-7.157832191100000330e+01,-6.467232423500000493e+01,-7.797384046099999466e+01,-6.809204360399999700e+01
5.902902902899999082e-01,-8.734211621500000433e+01,-6.443248167599999476e+01,-6.244191608900000290e+01,-6.960491381200000660e+01,-6.318209587900000201e+01
6.103003002999999316e-01,-6.890864549299999453e+01,-6.811833026200000063e+01,-6.165171565499999673e+01,-6.539423827500000641e+01,-5.998667795400000102e+01
6.303103103099999549e-01,-7.039820735499999671e+01,-7.380012874599999861e+01,-5.892886024799999944e+01,-7.477187926199999879e+01,-6.008327898400000322e+01
6.503203203200000893e-01,-7.835536060900000166e+01,-7.277777923799999371e+01,-5.257246722499999692e+01,-7.581543435800000452e+01,-5.563572212300000075e+01
6.703303303300000016e-01,-6.522037093599999480e+01,-6.968196837300000368e+01,-5.087598911500000298e+01,-6.761489895600000466e+01,-5.347982420299999973e+01
6.903403403400000249e-01,-6.352970150800000226e+01,-7.594460613200000410e+01,-4.921755754099999791e+01,-6.704810063700000455e+01,-5.097362968499999880e+01
7.103503503500000482e-01,-6.199787563200000307e+01,-6.307246629899999846e+01,-4.836025401399999879e+01,-6.501215926099999365e+01,-5.003537454599999990e+01
7.303603603599999605e-01,-5.695387074199999944e+01,-6.130334709800000326e+01,-4.736744958500000280e+01,-6.707975684900000601e+01,-4.689395061799999809e+01
7.503703703699999839e-01,-5.503902163800000125e+01,-5.694332686399999943e+01,-4.855271926799999704e+01,-6.651003298000000541e+01,-4.509835982199999904e+01
7.703803803800000072e-01,-5.616501448100000005e+01,-5.900684443699999804e+01,-4.716944110600000073e+01,-6.270284535599999742e+01,-4.465836575400000186e+01
7.903903903900000305e-01,-5.456698388899999941e+01,-5.878348281800000308e+01,-4.710132540600000084e+01,-6.365726858400000054e+01,-4.303682498599999917e+01
8.104004003999999428e-01,-5.378557960199999854e+01,-6.029385559400000005e+01,-4.671732404000000116e+01,-6.251588995099999835e+01,-4.315110094900000348e+01
8.304104104099999661e-01,-5.230648228900000163e+01,-6.410192506399999957e+01,-4.651542781999999931e+01,-5.773622139399999753e+01,-4.280940811400000001e+01
8.504204204199999895e-01,-5.053448579100000160e+01,-5.422285978200000045e+01,-4.789322944700000306e+01,-5.715583602400000274e+01,-4.286655898299999734e+01
8.704304304299999018e-01,-5.080496225099999918e+01,-5.277289767300000278e+01,-4.661158056299999686e+01,-5.840490757799999955e+01,-4.297901944000000185e+01
8.904404404400000361e-01,-5.267443969699999684e+01,-5.530085762699999918e+01,-4.672756002599999903e+01,-5.819121326999999866e+01,-4.248664547100000277e+01
9.104504504500000595e-01,-5.338518602100000265e+01,-5.595487325199999873e+01,-4.674242138799999680e+01,-5.590880933599999736e+01,-4.291533928599999825e+01
9.304604604600000828e-01,-5.331437933699999832e+01,-5.621504095699999937e+01,-4.728710293200000336e+01,-5.652897651300000348e+01,-4.378114025200000015e+01
9.504704704699999951e-01,-5.501479877199999891e+01,-5.646168233200000230e+01,-4.828090348399999954e+01,-5.899670275399999753e+01,-4.405155140600000152e+01
9.704804804800000184e-01,-5.494689385000000215e+01,-5.975070438499999881e+01,-4.782235969500000294e+01,-5.975527585199999692e+01,-4.477303867700000239e+01
9.904904904900000417e-01,-5.559384067700000287e+01,-6.219170645700000222e+01,-4.990549729100000320e+01,-6.070528298100000342e+01,-4.597515156200000064e+01
