freq_GHz,S21_dB,S31_dB
1.000000000000000048e-04,-8.501992538899999374e+01,-8.896146868099999949e+01
2.011991992000000326e-02,-8.521867446800000323e+01,-9.331560850399999651e+01
4.013983984000000366e-02,-9.338693655400000182e+01,-8.811699932099999444e+01
6.015975976000000058e-02,-9.383422316499999738e+01,-1.036165591000000035e+02
8.017967968000000445e-02,-9.511493794700000137e+01,-1.051762537799999961e+02
1.001995995999999944e-01,-1.008548018099999979e+02,-9.148208848400000193e+01
1.202195195199999983e-01,-9.191587822300000710e+01,-9.248589089899999749e+01
1.402394394400000022e-01,-9.868665862299999958e+01,-1.112124579599999947e+02
1.602593593600000199e-01,-1.018309868799999975e+02,-9.572967816099999538e+01
1.802792792800000099e-01,-1.001799495799999988e+02,-9.412034273599999779e+01
2.002991991999999999e-01,-9.827778172700000425e+01,-9.097897182900000246e+01
2.203191191200000176e-01,-8.889097368199999494e+01,-1.054239412600000065e+02
2.403390390399999799e-01,-9.622550068399999645e+01,-9.852177931999999316e+01
2.603589589599999976e-01,-9.300455742600000519e+01,-9.162035645100000636e+01
2.803788788800000154e-01,-9.569225066900000343e+01,-9.372881311400000470e+01
3.003987988000000331e-01,-9.449716299899999683e+01,-9.911117850499999804e+01
3.204187187200000508e-01,-9.736244959100000074e+01,-9.687847618399999305e+01
3.404386386400000131e-01,-8.762429950700000347e+01,-9.390151628700000686e+01
3.604585585599999753e-01,-9.292141848400000015e+01,-9.091739089099999660e+01
3.804784784799999930e-01,-8.779739319899999828e+01,-8.640548312200000680e+01
4.004983983999999553e-01,-1.035138815800000032e+02,-8.504825861599999826e+01
4.205183183199999730e-01,-9.458455997900000511e+01,-9.124029854799999839e+01
4.405382382399999908e-01,-9.408017498600000295e+01,-9.080850238600000068e+01
4.605581581600000085e-01,-1.048593888300000003e+02,-9.452693537000000390e+01
4.805780780799999707e-01,-9.331594581900000662e+01,-9.270709181399999466e+01
5.005979980000000440e-01,-8.479570007399999554e+01,-9.402821825799999544e+01
5.206179179200000062e-01,-9.434291698299999496e+01,-9.271728781599999536e+01
5.406378378400000795e-01,-8.924966331199999559e+01,-8.743507465099999365e+01
5.606577577600000417e-01,-9.084149816900000474e+01,-9.622298371099999770e+01
