freq_GHz,S21_real,S21_imag,S21_mag,S31_real,S31_imag,S31_mag
1.000000000000000048e-04,-8.289689086600000678e+01,0.000000000000000000e+00,8.289689086600000678e+01,-8.020835322199999950e+01,0.000000000000000000e+00,8.020835322199999950e+01
2.011991992000000326e-02,-1.066205130099999963e+02,0.000000000000000000e+00,1.066205130099999963e+02,-9.635347276299999919e+01,0.000000000000000000e+00,9.635347276299999919e+01
4.013983984000000366e-02,-1.029315298399999961e+02,0.000000000000000000e+00,1.029315298399999961e+02,-9.505797267900000236e+01,0.000000000000000000e+00,9.505797267900000236e+01
6.015975976000000058e-02,-9.013797823100000528e+01,0.000000000000000000e+00,9.013797823100000528e+01,-9.855771292000000017e+01,0.000000000000000000e+00,9.855771292000000017e+01
8.017967968000000445e-02,-9.138724192700000515e+01,0.000000000000000000e+00,9.138724192700000515e+01,-1.019609425600000066e+02,0.000000000000000000e+00,1.019609425600000066e+02
1.001995995999999944e-01,-9.275405613200000232e+01,0.000000000000000000e+00,9.275405613200000232e+01,-9.649525282999999831e+01,0.000000000000000000e+00,9.649525282999999831e+01
1.202195195199999983e-01,-9.452302452399999311e+01,0.000000000000000000e+00,9.452302452399999311e+01,-1.082353748000000024e+02,0.000000000000000000e+00,1.082353748000000024e+02
1.402394394400000022e-01,-9.619621792300000607e+01,0.000000000000000000e+00,9.619621792300000607e+01,-8.983496278600000551e+01,0.000000000000000000e+00,8.983496278600000551e+01
1.602593593600000199e-01,-9.250162615399999311e+01,0.000000000000000000e+00,9.250162615399999311e+01,-1.007017172799999969e+02,0.000000000000000000e+00,1.007017172799999969e+02
1.802792792800000099e-01,-9.317703336900000011e+01,0.000000000000000000e+00,9.317703336900000011e+01,-9.010117292699999325e+01,0.000000000000000000e+00,9.010117292699999325e+01
2.002991991999999999e-01,-8.845884989200000348e+01,0.000000000000000000e+00,8.845884989200000348e+01,-9.706029878500000052e+01,0.000000000000000000e+00,9.706029878500000052e+01
2.203191191200000176e-01,-9.383283499600000255e+01,0.000000000000000000e+00,9.383283499600000255e+01,-9.911037297299999693e+01,0.000000000000000000e+00,9.911037297299999693e+01
