freq_GHz,S21_dB,S31_dB
1.000000000000000048e-04,-7.564646911799999884e+01,-6.952392052400000466e+01
2.011991992000000326e-02,-8.978831959299999710e+01,-8.480334991799999500e+01
4.013983984000000366e-02,-8.614623922900000252e+01,-9.111244505899999524e+01
6.015975976000000058e-02,-9.531893337900000063e+01,-9.310050588500000401e+01
8.017967968000000445e-02,-9.388248416400000451e+01,-1.060964450799999952e+02
1.001995995999999944e-01,-1.081790932400000003e+02,-9.277934058200000322e+01
1.202195195199999983e-01,-9.970964102400000684e+01,-9.465694697799999346e+01
1.402394394400000022e-01,-9.835343493400000625e+01,-9.578862989900000002e+01
1.602593593600000199e-01,-9.182969678800000679e+01,-9.745678065399999923e+01
1.802792792800000099e-01,-9.333984424800000568e+01,-1.016753835899999956e+02
2.002991991999999999e-01,-9.595016856499999847e+01,-9.985533824099999833e+01
2.203191191200000176e-01,-1.074669492900000023e+02,-8.782323194500000341e+01
2.403390390399999799e-01,-1.012097913900000066e+02,-1.040221709199999935e+02
2.603589589599999976e-01,-9.470524184800000000e+01,-1.032954605200000060e+02
2.803788788800000154e-01,-1.052033827399999950e+02,-8.879818478900000400e+01
3.003987988000000331e-01,-9.979463825999999926e+01,-9.318130276700000536e+01
3.204187187200000508e-01,-9.287238316500000224e+01,-9.376606870300000196e+01
3.404386386400000131e-01,-9.663428356800000074e+01,-1.060360116199999965e+02
3.604585585599999753e-01,-9.650410959200000605e+01,-9.065189827000000378e+01
3.804784784799999930e-01,-9.806038044000000298e+01,-9.275927029999999718e+01
4.004983983999999553e-01,-8.774453116300000488e+01,-8.514680013199999564e+01
4.205183183199999730e-01,-8.516702803100000096e+01,-8.442231449000000509e+01
4.405382382399999908e-01,-8.814691040099999952e+01,-8.952610633700000164e+01
4.605581581600000085e-01,-9.043714515899999640e+01,-8.783434647599999323e+01
4.805780780799999707e-01,-9.476381186700000114e+01,-9.811722377899999969e+01
5.005979980000000440e-01,-9.219614687499999661e+01,-8.825739774299999851e+01
5.206179179200000062e-01,-1.043774508000000054e+02,-9.258684162900000558e+01
5.406378378400000795e-01,-8.757288659699999300e+01,-8.706414306099999578e+01
5.606577577600000417e-01,-9.004193244200000379e+01,-8.902675341600000536e+01
5.806776776799998929e-01,-9.510565451700000494e+01,-8.269628293899999960e+01
6.006975976000000772e-01,-9.030623729600000615e+01,-8.918451706300000126e+01
6.207175175199999284e-01,-9.035235819999999762e+01,-8.334128325000000359e+01
6.407374374400001127e-01,-9.353976145599999370e+01,-8.026933546499999750e+01
6.607573573599999639e-01,-8.302963002699999606e+01,-7.367552384900000106e+01
6.807772772799999261e-01,-8.121829314599999350e+01,-7.298994298700000627e+01
7.007971971999999994e-01,-8.560614660000000242e+01,-7.183062142100000358e+01
7.208171171199999616e-01,-8.097613547599999606e+01,-7.253261432600000091e+01
7.408370370399999238e-01,-8.038966744799999731e+01,-7.268338434999999720e+01
7.608569569599999971e-01,-7.811975037899999563e+01,-7.664284277100000509e+01
7.808768768799999593e-01,-9.271811302400000443e+01,-7.050333299499999384e+01
8.008967967999999216e-01,-7.145514145100000292e+01,-6.808563032899999712e+01
8.209167167199999948e-01,-6.665155413799999451e+01,-6.358728950999999796e+01
8.409366366399999571e-01,-6.538465047900000116e+01,-6.227095393599999795e+01
8.609565565599999193e-01,-6.147768742299999900e+01,-6.171635894100000286e+01
8.809764764799999925e-01,-6.181961205199999654e+01,-6.289093577700000282e+01
9.009963963999999548e-01,-6.245040669000000122e+01,-6.389812230799999782e+01
9.210163163200000280e-01,-6.153600559400000236e+01,-6.493985096400000145e+01
9.410362362399999903e-01,-5.747751665100000196e+01,-7.062362711999999476e+01
9.610561561599999525e-01,-5.789551964099999992e+01,-6.951954853600000206e+01
9.810760760800000257e-01,-5.617195597199999924e+01,-7.055406635500000334e+01
1.001095996000000099e+00,-5.561164581799999951e+01,-6.276409033200000209e+01
1.021115915900000060e+00,-5.814912698700000249e+01,-6.091062430099999858e+01
1.041135835800000020e+00,-6.057254142699999733e+01,-6.155093936899999818e+01
1.061155755799999989e+00,-5.744572091999999941e+01,-5.873612079699999811e+01
1.081175675699999950e+00,-5.758721721199999877e+01,-5.837383114699999709e+01
1.101195595599999910e+00,-5.648149715000000270e+01,-5.809007424100000350e+01
1.121215515500000093e+00,-5.656469212300000038e+01,-5.809742260800000224e+01
1.141235435400000053e+00,-5.983873697700000349e+01,-5.830087700800000050e+01
1.161255355400000022e+00,-5.906474047300000052e+01,-5.916169916300000153e+01
1.181275275299999983e+00,-5.950513847399999889e+01,-5.828263377399999712e+01
1.201295195199999943e+00,-5.813442109199999663e+01,-5.795228169800000018e+01
1.221315115099999904e+00,-5.843360033900000161e+01,-5.825014543799999700e+01
1.241335035000000087e+00,-5.724043888399999958e+01,-6.267202808100000055e+01
1.261354955000000055e+00,-5.767740667000000343e+01,-6.948001052099999697e+01
1.281374874900000016e+00,-5.393097308899999831e+01,-6.462856121800000153e+01
1.301394794799999977e+00,-5.152845926999999904e+01,-6.326423389600000036e+01
1.321414714699999937e+00,-4.923531074400000307e+01,-5.416547173400000048e+01
1.341434634599999898e+00,-4.699087076600000046e+01,-5.274880262199999947e+01
1.361454554599999867e+00,-4.760726755999999682e+01,-5.040036576100000332e+01
1.381474474500000049e+00,-4.750537656499999883e+01,-4.869534022500000248e+01
1.401494394400000010e+00,-4.779185981399999861e+01,-5.032291271700000124e+01
1.421514314299999970e+00,-5.157500028799999825e+01,-4.841658819100000244e+01
1.441534234200000153e+00,-5.119748791600000004e+01,-4.719701828299999846e+01
1.461554154200000122e+00,-4.932524533000000133e+01,-4.645684728500000205e+01
1.481574074099999860e+00,-4.647051479800000351e+01,-4.497957951200000082e+01
1.501593994000000043e+00,-4.703700804999999718e+01,-4.333691696399999671e+01
1.521613913900000004e+00,-4.395194506899999709e+01,-4.112487695000000087e+01
1.541633833799999964e+00,-4.531911977899999755e+01,-4.340371499999999827e+01
1.561653753799999933e+00,-4.500963397000000299e+01,-4.427741911900000105e+01
1.581673673700000116e+00,-4.292135522200000253e+01,-4.172962850900000120e+01
1.601693593599999854e+00,-4.218140595100000212e+01,-4.353610317599999746e+01
1.621713513500000037e+00,-4.103151865600000292e+01,-4.013179315800000069e+01
1.641733433399999997e+00,-4.162031488800000290e+01,-3.910309979899999888e+01
1.661753353400000188e+00,-4.259061854000000125e+01,-3.950054685700000334e+01
1.681773273299999927e+00,-4.003653158800000256e+01,-4.041739723999999967e+01
1.701793193200000109e+00,-3.861049850300000230e+01,-4.423817939399999943e+01
1.721813113099999848e+00,-3.720445832400000086e+01,-4.563075069599999978e+01
1.741833033000000031e+00,-3.762636704900000240e+01,-4.218710080000000318e+01
1.761852952999999999e+00,-4.065957561100000106e+01,-4.326262065499999920e+01
1.781872872900000182e+00,-3.859349103600000319e+01,-4.577447121600000202e+01
1.801892792799999921e+00,-3.796153131100000166e+01,-4.745383031200000090e+01
1.821912712700000103e+00,-3.834251358000000209e+01,-4.888142458499999776e+01
1.841932632599999842e+00,-4.150326909399999664e+01,-4.670287964700000316e+01
1.861952552599999811e+00,-4.520174888999999752e+01,-5.069624469499999719e+01
1.881972472499999993e+00,-5.183510492399999947e+01,-5.022530846499999768e+01
1.901992392400000176e+00,-5.867137990700000216e+01,-5.114338866399999972e+01
1.922012312299999914e+00,-6.698187863699999411e+01,-5.479212741100000272e+01
1.942032232200000097e+00,-5.024496522700000156e+01,-4.997473215800000190e+01
1.962052152200000066e+00,-4.502104802899999925e+01,-4.638077333700000082e+01
1.982072072099999804e+00,-3.968823790900000148e+01,-4.748707802199999861e+01
2.002091991999999987e+00,-3.872686820100000205e+01,-4.618938564100000121e+01
2.022111911900000170e+00,-3.927808261999999928e+01,-4.604527637399999662e+01
2.042131831799999908e+00,-3.849407917599999962e+01,-4.448019089400000325e+01
2.062151751800000099e+00,-3.790689329100000293e+01,-4.430476368499999751e+01
2.082171671699999838e+00,-3.740771455899999864e+01,-4.370800200800000113e+01
2.102191591600000020e+00,-3.588531779600000249e+01,-4.263872710199999716e+01
2.122211511500000203e+00,-3.485075564200000287e+01,-4.151192925200000161e+01
2.142231431399999941e+00,-3.396339176000000037e+01,-4.098401880299999789e+01
2.162251351400000132e+00,-3.447196919799999648e+01,-3.985981234100000137e+01
2.182271271300000315e+00,-3.546372846700000281e+01,-3.967383645700000017e+01
2.202291191199999609e+00,-3.705462390299999953e+01,-3.997397495700000292e+01
2.222311111099999792e+00,-3.808677517000000279e+01,-4.148605849199999795e+01
2.242331030999999975e+00,-3.829470178900000121e+01,-4.231830183299999959e+01
2.262350951000000165e+00,-3.612141260899999651e+01,-4.286484153399999997e+01
2.282370870899999904e+00,-3.393010997799999728e+01,-4.232412166600000347e+01
2.302390790800000087e+00,-3.294072031200000339e+01,-4.283930497099999712e+01
2.322410710699999825e+00,-3.222106402800000069e+01,-4.281195450500000277e+01
2.342430630600000008e+00,-3.072700809899999896e+01,-4.285753206999999776e+01
2.362450550599999755e+00,-2.931771641099999925e+01,-4.288241521399999812e+01
2.382470470499999937e+00,-2.793805385399999963e+01,-4.356810035000000170e+01
2.402490390400000120e+00,-2.688147357400000104e+01,-4.489025710199999963e+01
2.422510310300000302e+00,-2.604720226899999957e+01,-4.661539706700000352e+01
2.442530230199999597e+00,-2.549802175599999998e+01,-4.643711257900000078e+01
2.462550150199999788e+00,-2.476603282600000000e+01,-4.820568835800000329e+01
2.482570070099999970e+00,-2.420132304399999867e+01,-4.946070985800000130e+01
2.502589990000000153e+00,-2.354444078599999912e+01,-5.062839470600000169e+01
2.522609909899999892e+00,-2.285518866199999977e+01,-5.605284701400000102e+01
2.542629829800000074e+00,-2.220697579000000133e+01,-5.352738544000000331e+01
2.562649749699999813e+00,-2.152270658400000158e+01,-5.053815548499999721e+01
2.582669669700000004e+00,-2.088755374100000139e+01,-5.000896072599999798e+01
2.602689589599999742e+00,-2.028163999099999870e+01,-4.819237689199999863e+01
2.622709509499999925e+00,-1.969537358099999835e+01,-4.588415857799999742e+01
2.642729429400000107e+00,-1.915319558099999853e+01,-4.314188492099999905e+01
2.662749349300000290e+00,-1.865385553500000171e+01,-4.150103837700000042e+01
2.682769269300000037e+00,-1.812094429400000095e+01,-4.038667156700000049e+01
2.702789189199999775e+00,-1.760874963899999912e+01,-3.827530894800000283e+01
2.722809109099999958e+00,-1.709004895200000007e+01,-3.688465511399999741e+01
2.742829029000000141e+00,-1.666171534300000090e+01,-3.553972472499999924e+01
2.762848948899999879e+00,-1.619515676099999979e+01,-3.450354324199999922e+01
2.782868868900000070e+00,-1.577459748399999917e+01,-3.350212387500000233e+01
2.802888788800000253e+00,-1.538795380900000076e+01,-3.294030773899999787e+01
2.822908708699999991e+00,-1.507966902100000084e+01,-3.238137289899999871e+01
2.842928628599999730e+00,-1.482319722599999956e+01,-3.170408945300000170e+01
2.862948548499999912e+00,-1.458070215699999927e+01,-3.098200870000000151e+01
2.882968468500000103e+00,-1.442791745200000086e+01,-3.033977860999999976e+01
2.902988388400000286e+00,-1.434435288200000080e+01,-2.979480009399999929e+01
2.923008308300000024e+00,-1.429077005499999942e+01,-2.927831392299999891e+01
