freq_GHz,S21_dB,S31_dB
1.000000000000000048e-04,-8.355467631800000561e+01,-7.463596365499999763e+01
2.011991992000000326e-02,-8.130830399100000250e+01,-9.813194936700000426e+01
4.013983984000000366e-02,-9.685769036899999662e+01,-9.513334189799999763e+01
6.015975976000000058e-02,-9.773219065099999625e+01,-9.571964708400000177e+01
8.017967968000000445e-02,-1.143691087800000048e+02,-9.833455734000000348e+01
1.001995995999999944e-01,-1.084342537800000059e+02,-9.401498570200000415e+01
1.202195195199999983e-01,-9.831754351300000394e+01,-9.754153892200000087e+01
1.402394394400000022e-01,-9.613710352100000023e+01,-1.009616110399999940e+02
1.602593593600000199e-01,-9.167048894299999517e+01,-9.451071491099999378e+01
1.802792792800000099e-01,-9.705364919000000157e+01,-1.028299400500000047e+02
2.002991991999999999e-01,-1.006606837300000024e+02,-9.739455652799999541e+01
2.203191191200000176e-01,-9.859076814700000568e+01,-8.894250312299999450e+01
2.403390390399999799e-01,-9.605228760500000362e+01,-9.391221880700000213e+01
2.603589589599999976e-01,-9.062682992499999557e+01,-9.539351226600000189e+01
2.803788788800000154e-01,-9.109753894399999297e+01,-1.025608536000000015e+02
3.003987988000000331e-01,-1.041785518199999956e+02,-9.806414558999999542e+01
3.204187187200000508e-01,-9.225350875300000553e+01,-9.337299651300000392e+01
3.404386386400000131e-01,-9.807625185300000226e+01,-9.280824489299999414e+01
3.604585585599999753e-01,-8.604532906500000422e+01,-9.164547944000000257e+01
3.804784784799999930e-01,-9.215087988099999450e+01,-8.791445401500000401e+01
4.004983983999999553e-01,-8.290125854599999400e+01,-8.588961058399999615e+01
4.205183183199999730e-01,-9.073110961000000430e+01,-8.466107613799999854e+01
4.405382382399999908e-01,-9.215050836800000411e+01,-8.288577969499999654e+01
4.605581581600000085e-01,-9.895577442500000132e+01,-9.567393030300000589e+01
4.805780780799999707e-01,-8.433615882700000554e+01,-8.960840033799999560e+01
5.005979980000000440e-01,-8.788137292899999409e+01,-8.943399263599999927e+01
5.206179179200000062e-01,-8.823745044800000414e+01,-8.938446209500000350e+01
5.406378378400000795e-01,-8.122719449500000621e+01,-9.194910486099999503e+01
5.606577577600000417e-01,-9.727674627199999691e+01,-8.811489194000000680e+01
5.806776776799998929e-01,-8.588730973299999505e+01,-8.686197663400000124e+01
6.006975976000000772e-01,-8.738223082899999383e+01,-8.415608574499999861e+01
6.207175175199999284e-01,-8.246618029100000058e+01,-8.594408724900000607e+01
6.407374374400001127e-01,-8.174534539100000075e+01,-8.732729170700000054e+01
6.607573573599999639e-01,-8.352286569100000690e+01,-8.010071529600000417e+01
6.807772772799999261e-01,-7.454595860199999890e+01,-7.880801459699999612e+01
7.007971971999999994e-01,-7.291245072700000662e+01,-8.550031468900000675e+01
7.208171171199999616e-01,-7.149179876799999533e+01,-8.140496325399999478e+01
7.408370370399999238e-01,-7.009444188700000211e+01,-7.376645528999999613e+01
7.608569569599999971e-01,-6.803855523999999377e+01,-7.079646206500000005e+01
7.808768768799999593e-01,-6.735431636299999525e+01,-6.946631355600000290e+01
8.008967967999999216e-01,-6.796387045199999477e+01,-6.801541979300000662e+01
8.209167167199999948e-01,-6.307888238500000000e+01,-6.547194700699999714e+01
8.409366366399999571e-01,-6.183604086399999744e+01,-6.325644286200000010e+01
8.609565565599999193e-01,-6.109771264500000143e+01,-6.213303174299999654e+01
8.809764764799999925e-01,-6.120767275299999710e+01,-6.310735303399999907e+01
9.009963963999999548e-01,-6.214775381399999787e+01,-6.368913838200000299e+01
9.210163163200000280e-01,-6.417138942399999735e+01,-6.453687551900000585e+01
9.410362362399999903e-01,-6.625430263500000194e+01,-6.286357724300000172e+01
9.610561561599999525e-01,-6.644235074899999915e+01,-6.348201942099999684e+01
9.810760760800000257e-01,-6.718947181199999363e+01,-6.484336512699999844e+01
1.001095996000000099e+00,-6.912552015299999653e+01,-6.544388200699999913e+01
1.021115915900000060e+00,-6.494952879800000289e+01,-6.691459840500000666e+01
1.041135835800000020e+00,-6.534521376899999723e+01,-7.280073916499999598e+01
1.061155755799999989e+00,-6.968852951099999871e+01,-7.832109499700000299e+01
1.081175675699999950e+00,-7.040899962299999970e+01,-6.875066753000000119e+01
1.101195595599999910e+00,-6.940893718099999887e+01,-6.458090563000000373e+01
1.121215515500000093e+00,-6.683323626700000375e+01,-6.414047487000000558e+01
1.141235435400000053e+00,-6.903627748300000633e+01,-6.224190392599999910e+01
1.161255355400000022e+00,-7.047820572800000605e+01,-6.068298983300000060e+01
1.181275275299999983e+00,-6.321671448000000026e+01,-5.908324172300000043e+01
1.201295195199999943e+00,-6.249388640400000128e+01,-5.815276039399999775e+01
1.221315115099999904e+00,-6.273076397999999898e+01,-5.787394066400000270e+01
1.241335035000000087e+00,-6.045794405600000232e+01,-5.816381586699999673e+01
1.261354955000000055e+00,-5.462317532099999795e+01,-5.812837453800000276e+01
1.281374874900000016e+00,-5.455926158100000123e+01,-5.600905394299999784e+01
1.301394794799999977e+00,-5.303385197800000128e+01,-5.367334048499999710e+01
1.321414714699999937e+00,-5.531157056800000049e+01,-5.228802443600000061e+01
1.341434634599999898e+00,-5.393358865599999774e+01,-5.170495575599999682e+01
1.361454554599999867e+00,-5.324760765599999957e+01,-5.139369252000000188e+01
1.381474474500000049e+00,-5.176772752600000160e+01,-5.043614427899999697e+01
1.401494394400000010e+00,-5.002266264400000040e+01,-5.039669357500000046e+01
1.421514314299999970e+00,-5.707810348999999661e+01,-5.224042315500000200e+01
1.441534234200000153e+00,-5.294795183600000144e+01,-5.324647263699999655e+01
1.461554154200000122e+00,-4.994676124899999792e+01,-5.002906985599999956e+01
1.481574074099999860e+00,-5.209258838400000258e+01,-4.898366705099999763e+01
1.501593994000000043e+00,-5.477252218000000283e+01,-4.886951680300000334e+01
1.521613913900000004e+00,-4.569483305600000023e+01,-4.681053158000000280e+01
1.541633833799999964e+00,-4.594462735599999803e+01,-4.468003111200000177e+01
1.561653753799999933e+00,-5.048409162899999814e+01,-4.405682672599999705e+01
1.581673673700000116e+00,-4.859059831399999752e+01,-4.463870783200000147e+01
1.601693593599999854e+00,-4.471860622999999890e+01,-4.662856092999999902e+01
1.621713513500000037e+00,-4.644586507000000353e+01,-4.654283845900000216e+01
1.641733433399999997e+00,-4.577616777299999740e+01,-5.115506451299999924e+01
1.661753353400000188e+00,-4.551799279899999817e+01,-5.027256407200000154e+01
1.681773273299999927e+00,-4.366553510899999679e+01,-5.039768864100000201e+01
1.701793193200000109e+00,-4.560116586600000232e+01,-4.771047071499999959e+01
1.721813113099999848e+00,-4.506477685899999841e+01,-4.659262653300000068e+01
1.741833033000000031e+00,-4.415297241599999722e+01,-4.674737503600000110e+01
1.761852952999999999e+00,-4.373382621199999676e+01,-4.598799284100000051e+01
1.781872872900000182e+00,-4.299674389799999830e+01,-4.700724798400000282e+01
1.801892792799999921e+00,-4.615502824299999673e+01,-4.797377958700000278e+01
1.821912712700000103e+00,-4.691860304800000137e+01,-4.697548249799999809e+01
1.841932632599999842e+00,-4.580254285099999834e+01,-4.694848539099999840e+01
1.861952552599999811e+00,-4.628132265200000006e+01,-4.692037362800000011e+01
1.881972472499999993e+00,-4.855349243500000256e+01,-4.594869314400000349e+01
1.901992392400000176e+00,-4.932596282499999774e+01,-4.616497056299999713e+01
1.922012312299999914e+00,-4.666276552099999719e+01,-4.689127841100000182e+01
1.942032232200000097e+00,-4.711120281200000193e+01,-4.899259447699999726e+01
1.962052152200000066e+00,-4.793902675700000060e+01,-4.950503483399999993e+01
1.982072072099999804e+00,-4.426261895900000098e+01,-4.927337871400000324e+01
2.002091991999999987e+00,-4.397996304299999792e+01,-4.971733727499999844e+01
2.022111911900000170e+00,-4.298848784500000164e+01,-4.964129225199999951e+01
2.042131831799999908e+00,-4.162644545500000248e+01,-4.777768376299999886e+01
2.062151751800000099e+00,-4.094109727499999707e+01,-4.663482868700000239e+01
2.082171671699999838e+00,-3.940502687899999756e+01,-4.533417527900000010e+01
2.102191591600000020e+00,-3.930384595499999989e+01,-4.561611232799999982e+01
2.122211511500000203e+00,-3.947000260699999785e+01,-4.665417073999999786e+01
2.142231431399999941e+00,-4.014999162000000155e+01,-4.753684783399999958e+01
2.162251351400000132e+00,-3.970424397699999730e+01,-4.679925841800000086e+01
2.182271271300000315e+00,-3.902594036800000055e+01,-4.534489856399999752e+01
2.202291191199999609e+00,-3.976066838199999864e+01,-4.496940626699999655e+01
2.222311111099999792e+00,-4.026461839699999956e+01,-4.388274997500000296e+01
2.242331030999999975e+00,-4.208114658099999872e+01,-4.358922167899999778e+01
2.262350951000000165e+00,-4.404068861500000054e+01,-4.370867890699999947e+01
2.282370870899999904e+00,-4.421026505199999690e+01,-4.440256326499999773e+01
2.302390790800000087e+00,-4.368078789999999856e+01,-4.609025804200000209e+01
2.322410710699999825e+00,-4.548209219299999972e+01,-4.527273599499999790e+01
2.342430630600000008e+00,-4.512043868300000327e+01,-4.616696474100000103e+01
2.362450550599999755e+00,-4.514078782800000056e+01,-4.741841508400000293e+01
2.382470470499999937e+00,-4.368630387599999665e+01,-5.024567409099999793e+01
2.402490390400000120e+00,-4.549361597400000079e+01,-5.094531166000000155e+01
2.422510310300000302e+00,-4.361244023999999797e+01,-4.872520403699999747e+01
2.442530230199999597e+00,-4.267409455600000001e+01,-5.147175679499999745e+01
2.462550150199999788e+00,-4.267410350899999827e+01,-5.391503583200000094e+01
2.482570070099999970e+00,-4.137988712199999952e+01,-5.183145983800000067e+01
2.502589990000000153e+00,-4.040730330899999956e+01,-5.086336639700000006e+01
2.522609909899999892e+00,-4.013730427200000150e+01,-5.038467092999999863e+01
2.542629829800000074e+00,-3.998886894200000341e+01,-5.340554029199999775e+01
2.562649749699999813e+00,-4.006972176499999705e+01,-5.209350352999999956e+01
2.582669669700000004e+00,-4.065054965099999862e+01,-5.167503526499999822e+01
2.602689589599999742e+00,-4.189353124499999836e+01,-5.096162057400000123e+01
2.622709509499999925e+00,-4.150047665299999977e+01,-5.451015950400000065e+01
2.642729429400000107e+00,-4.121731551100000246e+01,-5.122474559799999838e+01
2.662749349300000290e+00,-4.085797985699999657e+01,-4.932653165100000336e+01
2.682769269300000037e+00,-3.935578094099999902e+01,-5.053097031099999725e+01
2.702789189199999775e+00,-3.943105497300000195e+01,-5.370207441299999829e+01
2.722809109099999958e+00,-3.921092960200000022e+01,-5.349418040199999780e+01
2.742829029000000141e+00,-3.891560187900000045e+01,-5.173967931399999998e+01
2.762848948899999879e+00,-3.774988725699999748e+01,-5.264858375400000057e+01
2.782868868900000070e+00,-3.780536360100000337e+01,-5.251093265299999757e+01
2.802888788800000253e+00,-3.806350614299999791e+01,-5.169452226300000319e+01
2.822908708699999991e+00,-3.781046640600000330e+01,-5.087968927299999677e+01
2.842928628599999730e+00,-3.661942160699999960e+01,-5.061739848199999869e+01
2.862948548499999912e+00,-3.804086170400000100e+01,-5.112589936199999840e+01
2.882968468500000103e+00,-3.856655141699999945e+01,-4.768400516300000191e+01
2.902988388400000286e+00,-3.842563139500000347e+01,-4.657742838200000079e+01
2.923008308300000024e+00,-3.983245829300000196e+01,-4.542802494699999727e+01
2.943028228199999763e+00,-3.862448524100000213e+01,-4.535116581199999786e+01
2.963048148099999946e+00,-3.755753844699999888e+01,-4.485795236900000305e+01
2.983068068099999692e+00,-3.771715656800000005e+01,-4.289780394200000302e+01
3.003087987999999875e+00,-3.785558129999999721e+01,-4.180254920899999860e+01
3.023107907900000058e+00,-3.582256162200000205e+01,-4.117711297500000001e+01
3.043127827800000240e+00,-3.512048772600000035e+01,-4.143408610200000197e+01
3.063147747699999979e+00,-3.698835360799999705e+01,-4.048079697899999729e+01
3.083167667699999726e+00,-3.556318203400000044e+01,-3.949594931800000097e+01
3.103187587599999908e+00,-3.412386916599999864e+01,-3.932394689099999852e+01
3.123207507500000091e+00,-3.410548131800000249e+01,-3.818351058100000017e+01
3.143227427400000273e+00,-3.544259201399999881e+01,-3.693336733099999947e+01
3.163247347300000012e+00,-3.587583251899999937e+01,-3.571110703099999739e+01
3.183267267300000203e+00,-3.540632592299999715e+01,-3.543986568900000123e+01
3.203287187199999941e+00,-3.511855343199999879e+01,-3.478334001999999714e+01
3.223307107100000124e+00,-3.643823206500000111e+01,-3.413084156600000085e+01
3.243327026999999863e+00,-3.765524903499999709e+01,-3.324567658299999806e+01
3.263346946900000045e+00,-3.638374064900000349e+01,-3.252028524899999695e+01
3.283366866900000236e+00,-3.575107741800000127e+01,-3.189501285800000119e+01
3.303386786799999975e+00,-3.687201394899999940e+01,-3.138218070099999935e+01
3.323406706699999713e+00,-3.671400596400000182e+01,-3.088336626099999904e+01
3.343426626599999896e+00,-3.614315237400000314e+01,-3.042870600499999867e+01
3.363446546500000078e+00,-3.544297362500000048e+01,-3.004367232199999904e+01
3.383466466499999825e+00,-3.564274360699999988e+01,-2.964567136000000147e+01
3.403486386400000008e+00,-3.510539571300000006e+01,-2.927756489900000147e+01
3.423506306300000190e+00,-3.425569749299999955e+01,-2.882902862299999924e+01
3.443526226199999929e+00,-3.362777350300000023e+01,-2.834407858599999841e+01
3.463546146100000112e+00,-3.293491807699999896e+01,-2.808860040000000069e+01
3.483566066099999858e+00,-3.262717785600000298e+01,-2.775625610199999826e+01
3.503585986000000041e+00,-3.273155347899999867e+01,-2.750963079799999988e+01
3.523605905900000224e+00,-3.265037489499999879e+01,-2.704872429799999978e+01
3.543625825800000406e+00,-3.188602535900000134e+01,-2.667363674899999992e+01
3.563645745699999701e+00,-3.129248014899999930e+01,-2.651387930599999976e+01
3.583665665699999892e+00,-3.152887351800000104e+01,-2.631870952299999900e+01
3.603685585600000074e+00,-3.119645144500000100e+01,-2.590124781000000098e+01
3.623705505499999813e+00,-3.032585928800000019e+01,-2.560733096299999900e+01
3.643725425399999995e+00,-3.005732465299999845e+01,-2.553322084899999922e+01
3.663745345300000178e+00,-3.058390280400000094e+01,-2.522394242500000061e+01
3.683765265300000369e+00,-3.022687899800000011e+01,-2.498308995100000018e+01
3.703785185199999663e+00,-2.970650162200000111e+01,-2.464481629200000157e+01
3.723805105099999846e+00,-2.911860125400000143e+01,-2.439891900699999994e+01
3.743825025000000029e+00,-2.901120589199999955e+01,-2.421102293799999927e+01
3.763844944900000211e+00,-2.863787238800000168e+01,-2.401424652300000062e+01
3.783864864899999958e+00,-2.802050325500000127e+01,-2.373592670000000027e+01
3.803884784800000141e+00,-2.762117501699999877e+01,-2.361324045799999993e+01
3.823904704699999879e+00,-2.719929112499999846e+01,-2.344832049800000107e+01
3.843924624600000062e+00,-2.703306685300000112e+01,-2.327952396399999913e+01
3.863944544499999800e+00,-2.656760885299999941e+01,-2.286004629399999999e+01
3.883964464499999991e+00,-2.602189307100000093e+01,-2.259936496299999931e+01
3.903984384400000174e+00,-2.560017001499999978e+01,-2.258107685399999909e+01
3.924004304300000356e+00,-2.535488516799999914e+01,-2.250339962299999996e+01
3.944024224199999651e+00,-2.499456705900000131e+01,-2.237020296800000096e+01
3.964044144099999833e+00,-2.446288487600000039e+01,-2.217040791399999833e+01
3.984064064100000024e+00,-2.423429779699999997e+01,-2.206091475099999855e+01
4.004083984000000207e+00,-2.402348781299999914e+01,-2.205397848200000155e+01
4.024103903900000390e+00,-2.362560812199999916e+01,-2.183242438899999982e+01
4.044123823800000572e+00,-2.353224141500000144e+01,-2.157588674300000164e+01
4.064143743699999867e+00,-2.338799160099999952e+01,-2.156815383300000022e+01
4.084163663700000058e+00,-2.310810278299999965e+01,-2.177008950700000156e+01
4.104183583600000240e+00,-2.280194498699999883e+01,-2.160182426900000152e+01
4.124203503500000423e+00,-2.261864406899999835e+01,-2.138164756300000136e+01
4.144223423399999717e+00,-2.245662071399999959e+01,-2.145231050199999956e+01
4.164243343299999900e+00,-2.243792662999999976e+01,-2.155723270000000014e+01
4.184263263300000091e+00,-2.240866025400000083e+01,-2.153750495099999895e+01
4.204283183199999385e+00,-2.227244501499999885e+01,-2.143377466900000172e+01
4.224303103099999568e+00,-2.224436239099999923e+01,-2.128105010999999891e+01
4.244323022999999750e+00,-2.234243431899999877e+01,-2.137812950200000017e+01
4.264342942899999933e+00,-2.216814010399999901e+01,-2.148149865199999908e+01
4.284362862900000124e+00,-2.184349343299999902e+01,-2.120242047500000027e+01
4.304382782800000307e+00,-2.192751020500000081e+01,-2.092754662000000110e+01
4.324402702699999601e+00,-2.208691071499999836e+01,-2.105389283599999928e+01
4.344422622600000672e+00,-2.163803163500000082e+01,-2.098377908999999875e+01
4.364442542499999966e+00,-2.121776549100000153e+01,-2.063199834999999993e+01
4.384462462500000157e+00,-2.118217959500000092e+01,-2.042352206300000006e+01
4.404482382399999452e+00,-2.102687555199999991e+01,-2.031064589800000064e+01
4.424502302300000522e+00,-2.074356464099999897e+01,-2.022175570199999939e+01
4.444522222199999817e+00,-2.029373418400000162e+01,-2.007295067500000130e+01
4.464542142100000000e+00,-1.994376052400000177e+01,-1.968310049999999833e+01
4.484562062100000190e+00,-1.979622319499999961e+01,-1.942157626199999854e+01
